date,netIncome,freeCashFlow,capitalExpenditure,totalStockholdersEquity
2024-02-03,4138000000.0,3815000000.0,-4806000000.0,13432000000.0
2023-01-28,2780000000.0,-1510000000.0,-5528000000.0,11232000000.0
2022-01-29,6946000000.0,5081000000.0,-3544000000.0,12827000000.0
2021-01-30,4368000000.0,7876000000.0,-2649000000.0,14440000000.0
2020-02-01,3281000000.0,4090000000.0,-3027000000.0,11833000000.0
2024-02-03,2164000000.0,2884000000.0,-3904000000.0,11615000000.0
2023-01-28,2244000000.0,1233000000.0,-3078000000.0,10014000000.0
2022-01-29,1655000000.0,3576000000.0,-2614000000.0,9429000000.0
2021-01-30,2585000000.0,3950000000.0,-2865000000.0,9550000000.0
2020-02-01,1659000000.0,1536000000.0,-3128000000.0,8573000000.0
2024-02-02,7726000000.0,6176000000.0,-1964000000.0,-15050000000.0
2023-02-03,6437000000.0,6760000000.0,-1829000000.0,-14254000000.0
2022-01-28,8442000000.0,8260000000.0,-1853000000.0,-4816000000.0
2021-01-29,5835000000.0,9258000000.0,-1791000000.0,1437000000.0
2020-01-31,4281000000.0,2812000000.0,-1484000000.0,1972000000.0
2023-12-31,8468800000.0,7254500000.0,-2357400000.0,-4706700000.0
2022-12-31,6177400000.0,5487500000.0,-1899200000.0,-6003400000.0
2021-12-31,7545200000.0,7101500000.0,-2040000000.0,-4601000000.0
2020-12-31,4730500000.0,4624400000.0,-1640800000.0,-7824900000.0
2019-12-31,6025400000.0,5728400000.0,-2393700000.0,-8210300000.0
2023-12-31,8344000000.0,10395000000.0,-3031000000.0,76461000000.0
2022-12-31,4311000000.0,13450000000.0,-2727000000.0,71469000000.0
2021-12-31,8001000000.0,15745000000.0,-2520000000.0,75075000000.0
2020-12-31,7179000000.0,13428000000.0,-2437000000.0,69389000000.0
2019-12-31,6634000000.0,10391000000.0,-2457000000.0,63864000000.0
2024-12-31,2681400000.0,,,
2023-12-31,2388800000.0,2633500000.0,-888400000.0,3715800000.0
2022-12-31,2020100000.0,1275400000.0,-644500000.0,3102100000.0
2021-12-31,1864400000.0,1872600000.0,-372000000.0,2437200000.0
2020-12-31,2030400000.0,3104800000.0,-303800000.0,3610800000.0
2019-12-31,,1992400000.0,-328900000.0,4123300000.0
2024-01-31,15511000000.0,15120000000.0,-20606000000.0,83861000000.0
2023-01-31,11680000000.0,11984000000.0,-16857000000.0,76693000000.0
2022-01-31,13673000000.0,11075000000.0,-13106000000.0,83253000000.0
2021-01-31,13510000000.0,25810000000.0,-10264000000.0,81298000000.0
2020-01-31,14881000000.0,14550000000.0,-10705000000.0,74669000000.0
2024-01-28,15143000000.0,17946000000.0,-3226000000.0,1044000000.0
2023-01-29,17105000000.0,11496000000.0,-3119000000.0,1562000000.0
2022-01-30,16433000000.0,14005000000.0,-2566000000.0,-1696000000.0
2021-01-31,12866000000.0,16376000000.0,-2463000000.0,3299000000.0
2020-02-02,11242000000.0,11045000000.0,-2678000000.0,-3116000000.0
2024-06-30,852000000.0,3251000000.0,-511000000.0,-3213000000.0
2023-06-30,261000000.0,2358000000.0,-481000000.0,-2851000000.0
2022-06-30,-932000000.0,2735000000.0,-387000000.0,-706000000.0
2021-06-30,611000000.0,2029000000.0,-400000000.0,1794000000.0
2020-06-30,-3693000000.0,1585000000.0,-375000000.0,1792000000.0
2024-02-03,1241000000.0,675000000.0,-795000000.0,3053000000.0
2023-01-28,1419000000.0,894000000.0,-930000000.0,2795000000.0
2022-01-29,2454000000.0,2515000000.0,-737000000.0,3020000000.0
2021-01-30,1798000000.0,4214000000.0,-713000000.0,4587000000.0
2020-02-01,1541000000.0,1822000000.0,-743000000.0,3479000000.0
2024-02-03,105000000.0,312000000.0,-993000000.0,4137000000.0
2023-01-28,1177000000.0,320000000.0,-1295000000.0,4082000000.0
2022-01-29,1430000000.0,2115000000.0,-597000000.0,3621000000.0
2021-01-30,-3944000000.0,183000000.0,-466000000.0,2553000000.0
2020-02-01,564000000.0,451000000.0,-1157000000.0,6377000000.0
2024-09-01,7367000000.0,6629000000.0,-4710000000.0,23622000000.0
2023-09-03,6292000000.0,6745000000.0,-4323000000.0,25058000000.0
2022-08-28,5844000000.0,3501000000.0,-3891000000.0,20642000000.0
2021-08-29,5007000000.0,5370000000.0,-3588000000.0,17564000000.0
2020-08-30,4002000000.0,6051000000.0,-2810000000.0,18284000000.0
2024-03-31,3002000000.0,3627000000.0,-687000000.0,-1971000000.0
2023-03-31,3560000000.0,4601000000.0,-558000000.0,-1857000000.0
2022-03-31,1114000000.0,3899000000.0,-535000000.0,-2272000000.0
2021-03-31,-4339000000.0,3901000000.0,-641000000.0,-21000000.0
2020-03-31,900000000.0,3868000000.0,-506000000.0,5092000000.0
2024-12-31,59248000000.0,32878000000.0,-82999000000.0,285970000000.0
2023-12-31,30425000000.0,32217000000.0,-52729000000.0,201875000000.0
2022-12-31,-2722000000.0,-16893000000.0,-63645000000.0,146043000000.0
2021-12-31,33364000000.0,-14726000000.0,-61053000000.0,138245000000.0
2020-12-31,21331000000.0,25924000000.0,-40140000000.0,93404000000.0
2024-09-30,1509120000.0,2997512000.0,-487173000.0,645938000.0
2023-09-30,1745293000.0,3452975000.0,-458359000.0,666287000.0
2022-09-30,1698820000.0,2206770000.0,-496318000.0,-289784000.0
2021-09-30,1539932000.0,2228369000.0,-438217000.0,223354000.0
2020-09-30,-3408716000.0,1837363000.0,-369677000.0,-839636000.0
2024-08-31,-8636000000.0,-363000000.0,-1381000000.0,10445000000.0
2023-08-31,-3080000000.0,141000000.0,-2117000000.0,20021000000.0
2022-08-31,4337000000.0,2165000000.0,-1734000000.0,29366000000.0
2021-08-31,2542000000.0,4176000000.0,-1379000000.0,23822000000.0
2020-08-31,456000000.0,4110000000.0,-1374000000.0,21136000000.0
