fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity
12/31/2024,1.00118E+11,1.25299E+11,52535000000,3.25084E+11
12/31/2023,73795000000,1.01746E+11,32251000000,2.83379E+11
12/31/2022,59972000000,91495000000,31485000000,2.56144E+11
12/31/2021,76033000000,91652000000,24640000000,2.51635E+11
12/31/2020,40269000000,65124000000,22281000000,2.22544E+11
12/31/2019,34343000000,54520000000,23548000000,2.01442E+11
12/31/2018,30736000000,47971000000,25139000000,1.77628E+11
12/31/2017,12662000000,37091000000,13184000000,1.52502E+11
12/31/2016,19478000000,36036000000,10212000000,1.39036E+11
12/31/2015,16348000000,26024000000,9915000000,1.20331E+11
12/31/2014,14136000000,22376000000,10959000000,1.045E+11
12/31/2013,12733000000,18659000000,7358000000,87309000000
12/31/2012,10737000000,16619000000,3273000000,71715000000
12/31/2011,9737000000,14565000000,3438000000,58145000000
12/31/2010,8505000000,11081000000,4018000000,46241000000
12/31/2009,6520000000,9316198000,809888000,36004224000
12/31/2008,4227000000,7852857000,2358461000,28238862000
12/31/2007,4203720000,5775410000,2402840000,22689679000
12/31/2006,3077446000,3580508000,1902798000,17039840000
12/31/2005,1465397000,2459422000,838217000,9418957000
12/31/2024,1.00118E+11,1.25299E+11,52535000000,3.25084E+11
12/31/2023,73795000000,1.01746E+11,32251000000,2.83379E+11
12/31/2022,59972000000,91495000000,31485000000,2.56144E+11
12/31/2021,76033000000,91652000000,24640000000,2.51635E+11
12/31/2020,40269000000,65124000000,22281000000,2.22544E+11
12/31/2019,34343000000,54520000000,23548000000,2.01442E+11
12/31/2018,30736000000,47971000000,25139000000,1.77628E+11
12/31/2017,12662000000,37091000000,13184000000,1.52502E+11
12/31/2016,19478000000,36036000000,10212000000,1.39036E+11
12/31/2015,16348000000,26024000000,9915000000,1.20331E+11
12/31/2014,14136000000,22376000000,10959000000,1.045E+11
12/31/2013,12733000000,18659000000,7358000000,87309000000
12/31/2012,10737000000,16619000000,3273000000,71715000000
12/31/2011,9737000000,14565000000,3438000000,58145000000
12/31/2010,8505000000,11081000000,4018000000,46241000000
12/31/2009,6520000000,9316198000,809888000,36004224000
12/31/2008,4227000000,7852857000,2358461000,28238862000
12/31/2007,4203720000,5775410000,2402840000,22689679000
12/31/2006,3077446000,3580508000,1902798000,17039840000
12/31/2005,1465397000,2459422000,838217000,9418957000
12/31/2024,59248000000,1.15877E+11,82999000000,2.8597E+11
12/31/2023,30425000000,84946000000,52729000000,2.01875E+11
12/31/2022,-2722000000,46752000000,63645000000,1.46043E+11
12/31/2021,33364000000,46327000000,61053000000,1.38245E+11
12/31/2020,21331000000,66064000000,40140000000,93404000000
12/31/2019,11588000000,38514000000,16861000000,62060000000
12/31/2018,10073000000,30723000000,13427000000,43549000000
12/31/2017,3033000000,18434000000,11955000000,27709000000
12/31/2016,2371000000,16443000000,6737000000,19285000000
12/31/2015,596000000,11920000000,4589000000,13384000000
12/31/2014,-241000000,6842000000,4893000000,10741000000
12/31/2013,274000000,5475000000,3444000000,9746000000
12/31/2012,-39000000,4180000000,3785000000,8192000000
12/31/2011,631000000,3903000000,1811000000,7757000000
12/31/2010,1152000000,3495000000,979000000,6864000000
12/31/2009,902000000,3293000000,373000000,5257000000
12/31/2008,645000000,1697000000,333000000,2672000000
12/31/2007,476000000,1405000000,224000000,1197000000
12/31/2006,190000000,702000000,216000000,431000000
12/31/2005,359000000,733000000,204000000,246000000
6/30/2024,88136000000,1.18548E+11,44477000000,2.68477E+11
6/30/2023,72361000000,87582000000,28107000000,2.06223E+11
6/30/2022,72738000000,89035000000,23886000000,1.66542E+11
6/30/2021,61271000000,76740000000,20622000000,1.41988E+11
6/30/2020,44281000000,60675000000,15441000000,1.18304E+11
6/30/2019,39240000000,52185000000,13925000000,1.0233E+11
6/30/2018,16571000000,43884000000,11632000000,82718000000
6/30/2017,25489000000,39507000000,8129000000,72394000000
6/30/2016,20539000000,33325000000,8343000000,71997000000
6/30/2015,12193000000,29080000000,5944000000,80083000000
6/30/2014,22074000000,32231000000,5485000000,89784000000
6/30/2013,21863000000,28833000000,4257000000,78944000000
6/30/2012,16978000000,31626000000,2305000000,66363000000
6/30/2011,23150000000,26994000000,2355000000,57083000000
6/30/2010,18760000000,24073000000,1977000000,46175000000
6/30/2009,14569000000,19037000000,3119000000,39558000000
6/30/2008,17681000000,21612000000,3182000000,36286000000
6/30/2007,14065000000,17796000000,2264000000,31097000000
6/30/2006,12599000000,14404000000,1578000000,40104000000
6/30/2005,12254000000,16605000000,812000000,48115000000
9/30/2024,93736000000,1.18254E+11,9447000000,56950000000
9/30/2023,96995000000,1.10543E+11,10959000000,62146000000
9/30/2022,99803000000,1.22151E+11,10708000000,50672000000
9/30/2021,94680000000,1.04038E+11,11085000000,63090000000
9/30/2020,57411000000,80674000000,7309000000,65339000000
9/30/2019,55256000000,69391000000,10495000000,90488000000
9/30/2018,59531000000,77434000000,13313000000,1.07147E+11
9/30/2017,48351000000,63598000000,12451000000,1.34047E+11
9/30/2016,45687000000,65824000000,12734000000,1.28249E+11
9/30/2015,53394000000,81266000000,11247000000,1.19355E+11
9/30/2014,39510000000,59713000000,9571000000,1.11547E+11
9/30/2013,37037000000,53666000000,8165000000,1.23549E+11
9/30/2012,41733000000,50856000000,8295000000,1.1821E+11
9/30/2011,25922000000,37529000000,4260000000,76615000000
9/30/2010,14013000000,18595000000,2005000000,47791000000
9/30/2009,5704000000,10159000000,1144000000,27832000000
9/30/2008,4834000000,9596000000,1091000000,21030000000
9/30/2007,3495000000,5470000000,735000000,14532000000
9/30/2006,1989000000,2220000000,657000000,9984000000
9/30/2005,1328000000,2535000000,260000000,7466000000
12/31/2024,62360000000,91328000000,37256000000,1.82637E+11
12/31/2023,39098000000,71113000000,27266000000,1.53168E+11
12/31/2022,23200000000,50475000000,31431000000,1.25713E+11
12/31/2021,39370000000,57683000000,18567000000,1.24879E+11
12/31/2020,29146000000,38747000000,15115000000,1.2829E+11
12/31/2019,18485000000,36314000000,15102000000,1.01054E+11
12/31/2018,22112000000,29274000000,13915000000,84127000000
12/31/2017,15934000000,24216000000,6733000000,74347000000
12/31/2016,10217000000,16108000000,4491000000,59194000000
12/31/2015,3688000000,8599000000,2523000000,44218000000
12/31/2014,2940000000,5457000000,1831000000,36096000000
12/31/2013,1500000000,4222000000,1362000000,15470000000
12/31/2012,53000000,1612000000,1235000000,11755000000
12/31/2011,1000000000,1549000000,606000000,4899000000
12/31/2010,606000000,698000000,293000000,2162000000
12/31/2009,122000000,155000000,33000000,None
12/31/2008,-56000000,,,None
12/31/2007,-138000000,,,None
1/31/2025,19436000000,36443000000,23783000000,91013000000
1/31/2024,15511000000,35726000000,20606000000,83861000000
1/31/2023,11680000000,29101000000,16857000000,76693000000
1/31/2022,13673000000,24181000000,13106000000,83253000000
1/31/2021,13510000000,36074000000,10264000000,81298000000
1/31/2020,14881000000,25255000000,10705000000,74669000000
1/31/2019,6670000000,27753000000,10344000000,72496000000
1/31/2018,9862000000,28337000000,10051000000,77869000000
1/31/2017,13643000000,31530000000,10619000000,77798000000
1/31/2016,14694000000,27389000000,11477000000,80546000000
1/31/2015,16363000000,28564000000,12174000000,81394000000
1/31/2014,16022000000,23257000000,13115000000,76255000000
1/31/2013,16999000000,25591000000,12898000000,76343000000
1/31/2012,15699000000,24255000000,13510000000,71315000000
1/31/2011,16389000000,23643000000,12699000000,68542000000
1/31/2010,14335000000,26249000000,12184000000,70749000000
1/31/2009,13400000000,23147000000,11499000000,65285000000
1/31/2008,12731000000,20354000000,14937000000,64608000000
1/31/2007,11284000000,20164000000,15666000000,61573000000
1/31/2006,11231000000,17633000000,14563000000,53171000000
