CIK,Year,Net_Income,Stockholders Equity,Capital Expenditure,Free Cash Flow
6281.0,2021,1390422000.0,,,
6281.0,2022,2748561000.0,,,
6281.0,2023,3314579000.0,,,
6281.0,2024,1635273000.0,,,
8670.0,2021,2598500000.0,,,
8670.0,2022,2948900000.0,,,
8670.0,2023,3412000000.0,,,
8670.0,2024,3752000000.0,,,
24741.0,2020,512000000.0,,,
24741.0,2021,1906000000.0,,,
24741.0,2022,1316000000.0,,,
24741.0,2023,581000000.0,,,
32604.0,2021,2303000000.0,,,
32604.0,2022,3231000000.0,,,
32604.0,2023,13219000000.0,,,
32604.0,2024,1968000000.0,,,
47217.0,2021,6541000000.0,,,
47217.0,2022,3132000000.0,,,
47217.0,2023,3263000000.0,,,
47217.0,2024,2775000000.0,,,
50863.0,2021,19868000000.0,,,
50863.0,2022,8014000000.0,,,
50863.0,2023,1689000000.0,,,
50863.0,2024,-18756000000.0,,,
51143.0,2020,5590000000.0,,,
51143.0,2021,5742000000.0,,,
51143.0,2022,1640000000.0,,,
51143.0,2023,7502000000.0,,,
68505.0,2020,949000000.0,,,
68505.0,2021,1245000000.0,,,
68505.0,2022,1363000000.0,,,
68505.0,2023,1709000000.0,,,
97476.0,2020,5595000000.0,,,
97476.0,2021,7769000000.0,,,
97476.0,2022,8749000000.0,,,
97476.0,2023,6510000000.0,,,
97745.0,2020,6375000000.0,,,
97745.0,2021,7725000000.0,,,
97745.0,2022,6950000000.0,,,
97745.0,2023,5995000000.0,,,
106040.0,2021,821000000.0,,,
106040.0,2022,1546000000.0,,,
106040.0,2023,-1684000000.0,,,
106040.0,2024,-798000000.0,,,
109177.0,2021,189600000.0,,,
109177.0,2022,71600000.0,,,
109177.0,2023,1801500000.0,,,
109177.0,2024,124800000.0,,,
313616.0,2020,3646000000.0,,,
313616.0,2021,6433000000.0,,,
313616.0,2022,7209000000.0,,,
313616.0,2023,4764000000.0,,,
320193.0,2021,94680000000.0,,,
320193.0,2022,99803000000.0,,,
320193.0,2023,96995000000.0,,,
320193.0,2024,93736000000.0,,,
723125.0,2021,5861000000.0,,,
723125.0,2022,8687000000.0,,,
723125.0,2023,-5833000000.0,,,
723125.0,2024,778000000.0,,,
773840.0,2020,4779000000.0,,,
773840.0,2021,5542000000.0,,,
773840.0,2022,4966000000.0,,,
773840.0,2023,5658000000.0,,,
789019.0,2021,61271000000.0,,,
789019.0,2022,72738000000.0,,,
789019.0,2023,72361000000.0,,,
789019.0,2024,88136000000.0,,,
804328.0,2021,9043000000.0,,,
804328.0,2022,12936000000.0,,,
804328.0,2023,7232000000.0,,,
804328.0,2024,10142000000.0,,,
858877.0,2021,10591000000.0,,,
858877.0,2022,11812000000.0,,,
858877.0,2023,12613000000.0,,,
858877.0,2024,10320000000.0,,,
912093.0,2021,67500000.0,,,
912093.0,2022,15500000.0,,,
912093.0,2023,25500000.0,,,
912093.0,2024,-25800000.0,,,
1014473.0,2020,814888000.0,,,
1014473.0,2021,784800000.0,,,
1014473.0,2022,673800000.0,,,
1014473.0,2023,817600000.0,,,
1065088.0,2020,5667000000.0,,,
1065088.0,2021,13608000000.0,,,
1065088.0,2022,-1269000000.0,,,
1065088.0,2023,2767000000.0,,,
1075531.0,2020,59000000.0,,,
1075531.0,2021,1165000000.0,,,
1075531.0,2022,3058000000.0,,,
1075531.0,2023,4289000000.0,,,
1108524.0,2021,4072000000.0,,,
1108524.0,2022,1444000000.0,,,
1108524.0,2023,208000000.0,,,
1108524.0,2024,4136000000.0,,,
1133421.0,2021,7005000000.0,,,
1133421.0,2022,4896000000.0,,,
1133421.0,2023,2056000000.0,,,
1133421.0,2024,4174000000.0,,,
1136893.0,2020,158000000.0,,,
1136893.0,2021,417000000.0,,,
1136893.0,2022,-16720000000.0,,,
1136893.0,2023,-6654000000.0,,,
1326801.0,2021,39370000000.0,,,
1326801.0,2022,23200000000.0,,,
1326801.0,2023,39098000000.0,,,
1326801.0,2024,62360000000.0,,,
1341439.0,2021,13746000000.0,,,
1341439.0,2022,6717000000.0,,,
1341439.0,2023,8503000000.0,,,
1341439.0,2024,10467000000.0,,,
1571996.0,2021,3250000000.0,,,
1571996.0,2022,5563000000.0,,,
1571996.0,2023,2442000000.0,,,
1571996.0,2024,3211000000.0,,,
1633917.0,2020,4202000000.0,,,
1633917.0,2021,4169000000.0,,,
1633917.0,2022,2419000000.0,,,
1633917.0,2023,4246000000.0,,,
1645590.0,2021,3427000000.0,,,
1645590.0,2022,868000000.0,,,
1645590.0,2023,2025000000.0,,,
1645590.0,2024,2579000000.0,,,
1652044.0,2020,40269000000.0,,,
1652044.0,2021,76033000000.0,,,
1652044.0,2022,59972000000.0,,,
1652044.0,2023,73795000000.0,,,
1688568.0,2021,-149000000.0,,,
1688568.0,2022,718000000.0,,,
1688568.0,2023,-568000000.0,,,
1688568.0,2024,91000000.0,,,
1730168.0,2021,6736000000.0,,,
1730168.0,2022,11495000000.0,,,
1730168.0,2023,14082000000.0,,,
1730168.0,2024,5895000000.0,,,
1770450.0,2020,192000000.0,,,
1770450.0,2021,-455000000.0,,,
1770450.0,2022,-322000000.0,,,
1770450.0,2023,1000000.0,,,
